cos,usr_click_nums,same_cos_nums,±»÷µ
0.027166,93,474,0.196202532
0.063404,395,1614,0.244733581
0.104865,0,8,0
0.181071,0,2,0
0.037769,0,4,0
0.117954,3,10,0.3
0.184289,186,1068,0.174157303
0.040423,247,1077,0.229340761
0.07763,0,1,0
0.046065,67,232,0.288793103
0.042524,0,1,0
0.015956,0,2,0
0.098773,1754,8140,0.215479115
0.559017,1,11,0.090909091
0.05547,1790,11822,0.151412621
0.061301,1,7,0.142857143
0.094412,1,6,0.166666667
0.101437,2,5,0.4
0.030517,1,1,1
0.037905,162,748,0.21657754
0.084785,0,4,0
0.016112,0,1,0
0.022305,25,99,0.252525253
0.226779,645,3534,0.182512733
0.090951,1,2,0.5
0.035898,105,550,0.190909091
0.080904,42,138,0.304347826
0.408248,186,2387,0.077922078
0.031923,0,1,0
0.060523,29,119,0.243697479
0.051848,795,4025,0.197515528
0.205196,4643,34375,0.135069091
0.025298,1,1,1
0.036948,4,10,0.4
0.030949,54,221,0.244343891
0.126323,4,11,0.363636364
0.1038,2,5,0.4
0.076822,11,35,0.314285714
0.066178,5,22,0.227272727
0.016845,0,1,0
0.023864,9,41,0.219512195
0.022727,3,15,0.2
0.013316,0,1,0
0.1875,21,90,0.233333333
0.105409,4994,36846,0.1355371
0.019668,2,20,0.1
0.20937,8,70,0.114285714
0.061559,1,2,0.5
0.020833,5,16,0.3125
0.100223,4,10,0.4
0.094809,1873,8310,0.225391095
0.062828,0,5,0
0.083333,1604,10518,0.152500475
0.022987,0,1,0
0.025516,15,46,0.326086957
0.124939,1,11,0.090909091
0.052342,1395,9135,0.15270936
0.057789,3,5,0.6
0.030773,71,283,0.250883392
0.102095,0,4,0
0.260378,0,4,0
0.0647,7,18,0.388888889
0.136223,151,572,0.263986014
0.019522,0,3,0
0.130466,4688,25974,0.18048818
0.111803,8685,70690,0.122860376
0.070186,59,189,0.312169312
0.088465,50,164,0.304878049
0.041239,260,1101,0.236148955
0.059628,357,1256,0.284235669
0.032835,1,3,0.333333333
0.095211,0,2,0
0.020477,8,40,0.2
0.101593,1,8,0.125
0.017664,1,5,0.2
0.534522,1,6,0.166666667
0.106,198,980,0.202040816
0.060858,2134,15198,0.140413212
0.033403,0,2,0
0.243975,0,1,0
0.102869,0,4,0
0.447214,1511,21407,0.070584388
0.03555,4,6,0.666666667
0.745356,1,1,1
0.06415,57,182,0.313186813
0.033014,0,2,0
0.112022,4,21,0.19047619
0.054919,0,1,0
0.105593,5,10,0.5
0.057639,19,68,0.279411765
0.107872,2,10,0.2
0.032991,0,1,0
0.099801,1,1,1
0.0795,1,1,1
0.020515,2,9,0.222222222
0.019687,1,15,0.066666667
0.047878,69,233,0.296137339
0.122885,5,18,0.277777778
0.197066,1,2,0.5
0.063372,26,117,0.222222222
0.134164,160,650,0.246153846
0.015119,0,1,0
0.16,5,32,0.15625
0.015875,0,2,0
0.0636,1,10,0.1
0.071247,24,117,0.205128205
0.074329,51,211,0.241706161
0.033172,0,3,0
0.025198,39,166,0.234939759
0.02199,10,54,0.185185185
0.050236,103,327,0.314984709
0.023783,7,28,0.25
0.01669,1,4,0.25
0.062351,1,8,0.125
0.019418,3,4,0.75
0.075569,1,1,1
0.015476,0,1,0
0.028808,144,721,0.199722607
0.094072,172,638,0.269592476
0.073922,50,252,0.198412698
0.02132,7,39,0.179487179
0.022272,7,20,0.35
0.017975,1,3,0.333333333
0.018939,3,6,0.5
0.10113,64,289,0.221453287
0.034026,0,1,0
0.025039,39,221,0.176470588
0.018952,19,43,0.441860465
0.121666,4,22,0.181818182
0.07705,0,1,0
0.237356,0,4,0
0.131991,1,1,1
0.043769,2,12,0.166666667
0.072369,1,1,1
0.029722,51,212,0.240566038
0.072787,807,3283,0.245811758
0.058891,0,3,0
0.019174,1,13,0.076923077
0.035202,0,1,0
0.136399,4896,28129,0.174055245
0.032552,1,3,0.333333333
0.060578,316,1128,0.280141844
0.030254,2,10,0.2
0.071673,0,2,0
0.02,1,23,0.043478261
0.086793,1,2,0.5
0.177471,1,2,0.5
0.019302,0,1,0
0.120913,0,1,0
0.066291,0,1,0
0.070535,48,183,0.262295082
0.059549,24,82,0.292682927
0.110516,0,6,0
0.098324,1,4,0.25
0.0261,17,58,0.293103448
0.218543,30,200,0.15
0.12257,2,4,0.5
0.034837,168,597,0.281407035
0.078146,1338,5428,0.246499632
0.246183,3,15,0.2
0.034149,1,1,1
0.024289,24,124,0.193548387
0.161296,21,66,0.318181818
0.031842,1,1,1
0.066519,39,134,0.291044776
0.02742,93,400,0.2325
0.056048,0,1,0
0.019574,3,10,0.3
0.073302,21,60,0.35
0.014163,0,1,0
0.421637,35,257,0.13618677
0.068002,605,2223,0.272154746
0.042786,28,80,0.35
0.107096,1,3,0.333333333
0.01786,1,3,0.333333333
0.029601,3,8,0.375
0.043696,40,178,0.224719101
0.294884,0,5,0
0.018844,3,8,0.375
0.044499,869,5839,0.148826854
0.055577,248,882,0.281179138
0.025734,62,288,0.215277778
0.020121,16,53,0.301886792
0.034421,135,538,0.250929368
0.150649,6,20,0.3
0.100279,98,315,0.311111111
0.021296,16,67,0.23880597
0.063729,1,1,1
0.031027,1,1,1
0.023736,30,162,0.185185185
0.022559,19,88,0.215909091
0.030824,1,1,1
0.13159,0,1,0
0.121157,7,12,0.583333333
0.095637,2,6,0.333333333
0.053357,269,826,0.32566586
0.122169,380,2022,0.18793274
0.122068,9,24,0.375
0.035082,1,9,0.111111111
0.037743,2,14,0.142857143
0.019811,0,1,0
0.024168,8,34,0.235294118
0.138426,15,45,0.333333333
0.042757,0,1,0
0.143223,3778,22063,0.171236912
0.022751,3,31,0.096774194
0.015796,0,1,0
0.03949,6,40,0.15
0.233126,0,2,0
0.09934,1,5,0.2
0.015915,1,1,1
0.032376,0,1,0
0.018303,2,5,0.4
0.031296,0,2,0
0.052076,166,546,0.304029304
0.027237,30,97,0.309278351
0.184637,25,119,0.210084034
0.168281,8,40,0.2
0.106714,1,3,0.333333333
0.031265,1,2,0.5
0.020349,6,28,0.214285714
0.01472,0,2,0
0.03089,68,277,0.245487365
0.034737,1,6,0.166666667
0.018932,5,17,0.294117647
0.017645,0,1,0
0.01765,0,2,0
0.350823,42,295,0.142372881
0.035383,6,21,0.285714286
0.071408,12,31,0.387096774
0.126773,185,755,0.245033113
0.020162,7,25,0.28
0.266667,17,123,0.138211382
0.027472,106,486,0.218106996
0.060733,2,4,0.5
0.08554,25,120,0.208333333
0.036736,2,8,0.25
0.247436,1,2,0.5
0.016655,0,1,0
0.037823,7,25,0.28
0.017501,1,3,0.333333333
0.022537,0,1,0
0.127343,178,861,0.206736353
0.043073,0,1,0
0.041748,24,69,0.347826087
0.036334,4,9,0.444444444
0.064625,1,11,0.090909091
0.053074,1890,12785,0.147829488
0.089331,1,2,0.5
0.032359,281,1283,0.219017927
0.062284,4,7,0.571428571
0.325396,293,2338,0.125320787
0.054554,728,3545,0.205359661
0.016485,0,2,0
0.049629,12,34,0.352941176
0.019672,1,1,1
0.07417,0,1,0
0.066098,5,19,0.263157895
0.042295,6,13,0.461538462
0.26968,3263,30796,0.105955319
0.042409,416,1586,0.262295082
0.096825,52,180,0.288888889
0.046072,1,1,1
0.09245,104,509,0.2043222
0.104973,0,6,0
0.068359,35,158,0.221518987
0.060181,3,7,0.428571429
0.099723,34,135,0.251851852
0.024282,2,21,0.095238095
0.036606,4,10,0.4
0.089009,0,4,0
0.060412,22,71,0.309859155
0.02387,31,126,0.246031746
0.167248,0,1,0
0.044281,911,5801,0.157041889
0.109545,84,369,0.227642276
0.016451,0,1,0
0.021054,4,18,0.222222222
0.015277,0,1,0
0.033567,2,3,0.666666667
0.053936,337,1123,0.300089047
0.041559,5,21,0.238095238
0.058026,13,41,0.317073171
0.436436,0,13,0
0.052778,12,28,0.428571429
0.095564,0,2,0
0.020203,4,29,0.137931034
0.085057,3,5,0.6
0.15,287,1334,0.215142429
0.088345,0,2,0
0.111417,71,402,0.176616915
0.054153,8,22,0.363636364
0.114208,152,507,0.299802761
0.115711,4,13,0.307692308
0.417029,3,10,0.3
0.058977,390,1292,0.301857585
0.071714,6,23,0.260869565
0.029282,0,1,0
0.100314,1,4,0.25
0.039253,2,2,1
0.035164,2,10,0.2
0.028973,0,1,0
0.031189,87,300,0.29
0.029864,0,1,0
0.056493,1,1,1
0.036126,2,7,0.285714286
0.020695,6,24,0.25
0.08165,3513,27986,0.125527049
0.03345,0,2,0
0.017667,0,2,0
0.015458,0,1,0
0.231869,0,1,0
0.053986,0,1,0
0.122988,161,660,0.243939394
0.040859,1,7,0.142857143
0.063036,3,3,1
0.014833,0,1,0
0.030261,82,258,0.317829457
0.107211,282,1351,0.208734271
0.061314,36,86,0.418604651
0.036761,533,2817,0.189208378
0.01838,3,12,0.25
0.024254,36,141,0.255319149
0.02967,48,259,0.185328185
0.020261,1,3,0.333333333
0.163908,499,2265,0.220309051
0.097849,59,213,0.276995305
0.017705,9,18,0.5
0.054188,1,2,0.5
0.059444,17,56,0.303571429
0.08528,1443,6522,0.22125115
0.041169,562,3673,0.15300844
0.018925,1,2,0.5
0.20498,3,4,0.75
0.16843,0,5,0
0.028284,147,644,0.22826087
0.033333,379,1607,0.235843186
0.10328,2334,11108,0.210118833
0.101361,1,4,0.25
0.080322,4086,34059,0.11996829
0.018334,3,5,0.6
0.152302,7,36,0.194444444
0.080257,0,1,0
0.06143,2730,18809,0.145143282
0.058321,12,49,0.244897959
0.057166,18,63,0.285714286
0.066227,1227,7097,0.172889954
0.071755,1,2,0.5
0.024434,36,166,0.21686747
0.01618,0,1,0
0.041082,13,43,0.302325581
0.020048,2,6,0.333333333
0.137361,293,1741,0.168294084
0.044588,2,2,1
0.064033,4,16,0.25
0.025063,10,41,0.243902439
0.049922,127,405,0.313580247
0.049622,0,1,0
0.178885,2944,20488,0.14369387
0.121806,1,1,1
0.039841,481,2657,0.181031238
0.073855,16,43,0.372093023
0.034427,0,2,0
0.025889,10,48,0.208333333
0.157622,1,1,1
0.091627,0,2,0
0.025692,43,260,0.165384615
0.017001,1,4,0.25
0.022502,30,164,0.182926829
0.060933,0,1,0
0.155543,15,51,0.294117647
0.031388,154,839,0.183551847
0.018007,2,5,0.4
0.11094,2474,12386,0.199741644
0.059643,2,5,0.4
0.124635,4,13,0.307692308
0.080524,1,2,0.5
0.050063,5,15,0.333333333
0.028958,0,1,0
0.197814,654,3445,0.189840348
0.140488,9,53,0.169811321
0.040202,31,118,0.262711864
0.056949,1,4,0.25
0.307794,541,3922,0.137939827
0.049266,800,3990,0.200501253
0.091077,41,132,0.310606061
0.208013,9,55,0.163636364
0.069421,647,2428,0.266474465
0.19803,1,5,0.2
0.139482,0,2,0
0.103264,3,14,0.214285714
0.098176,2440,11324,0.215471565
0.035749,0,9,0
0.181902,7,50,0.14
0.053225,5,19,0.263157895
0.071796,39,148,0.263513514
0.023596,4,21,0.19047619
0.077324,0,1,0
0.227429,0,3,0
0.045644,1462,8879,0.164658182
0.01718,0,1,0
0.097129,172,824,0.208737864
0.06396,3,7,0.428571429
0.196352,29,116,0.25
0.121046,0,3,0
0.020888,3,7,0.428571429
0.084382,1,1,1
0.063457,2,13,0.153846154
0.033482,172,574,0.299651568
0.08461,0,1,0
0.092057,118,617,0.191247974
0.099504,166,787,0.210927573
0.01705,1,3,0.333333333
0.025582,18,48,0.375
0.017857,1,4,0.25
0.057364,0,1,0
0.070515,10,30,0.333333333
0.061898,20,76,0.263157895
0.026958,27,122,0.221311475
0.056443,1,1,1
0.018683,0,7,0
0.073621,1,1,1
0.062124,1,1,1
0.180187,1,1,1
0.106904,2472,12724,0.194278529
0.175562,17,92,0.184782609
0.086874,1354,6191,0.218704571
0.043193,406,1836,0.221132898
0.202031,1,2,0.5
0.280056,1,7,0.142857143
0.020829,11,43,0.255813953
0.018092,0,5,0
0.029715,0,2,0
0.03352,241,1157,0.208297321
0.020195,2,3,0.666666667
0.031976,0,1,0
0.13525,14,52,0.269230769
0.036179,206,962,0.214137214
0.082323,0,2,0
0.059365,453,1483,0.305461902
0.15396,8,45,0.177777778
0.022097,7,34,0.205882353
0.137604,2,18,0.111111111
0.015145,0,1,0
0.028583,38,150,0.253333333
0.06704,394,1655,0.238066465
0.022184,4,13,0.307692308
0.096623,2,3,0.666666667
0.071837,1,1,1
0.105851,1,2,0.5
0.023689,0,1,0
0.200446,22,105,0.20952381
0.033558,110,440,0.25
0.189618,25,125,0.2
0.044173,44,128,0.34375
0.53033,7,124,0.056451613
0.061237,2,8,0.25
0.024427,18,46,0.391304348
0.261712,1,3,0.333333333
0.066034,0,1,0
0.246932,1,4,0.25
0.188144,0,1,0
0.135613,4,20,0.2
0.034816,317,1835,0.172752044
0.059409,1,4,0.25
0.050637,1418,9813,0.144502191
0.141737,17,49,0.346938776
0.178017,21,101,0.207920792
0.017342,1,2,0.5
0.038597,5,18,0.277777778
0.035834,5,7,0.714285714
0.566947,12,150,0.08
0.022222,27,96,0.28125
