cos	nums
0.019157	7
0.038405	6
0.177705	1496
0.132068	27
0.073127	200
0.047405	6030
0.121447	2
0.026612	70
0.081312	4294
0.087538	2
0.105736	239
0.017767	7
0.106752	3
0.136083	2092
0.045691	8
0.055902	21101
0.051813	401
0.074796	4207
0.038173	20
0.141108	40
0.121988	2
0.026307	292
0.041213	72
0.058277	2
0.20226	1800
0.034021	481
0.021597	30
0.060424	2
0.19696	169
0.10056	275
0.016096	1
0.243332	199
0.034199	1258
0.050078	386
0.032827	395
0.030168	3
0.023905	105
0.05341	1
0.060971	56
0.026352	402
0.033036	1
0.061085	6671
0.019842	33
0.061199	61
0.024731	176
0.030032	1
0.019121	12
0.087149	59
0.151186	26228
0.043519	1611
0.033976	3
0.052632	27
0.130814	19
0.018732	5
0.272798	233
0.038348	4272
0.070632	0
0.415227	4
0.019889	5
0.078193	3
0.021437	11
0.091168	2
0.027343	1
0.070129	22
0.069007	20005
0.037582	744
0.085868	1
0.018078	19
0.030994	2
0.153393	20778
0.034529	7
0.258199	65331
0.074651	55
0.021344	47
0.037171	1
0.026679	388
0.015497	2
0.065779	38
0.111187	8
0.01729	11
0.031883	1
0.098924	4
0.147087	52
0.046004	258
0.0522	16
0.017903	6
0.042737	78
0.092376	2
0.019139	5
0.016044	1
0.064775	13
0.077267	4055
0.029019	0
0.021926	118
0.036226	6
0.044721	7474
0.086459	5
0.068915	40
0.395285	10
0.070948	1
0.194029	38
0.059526	11
0.021537	14
0.088273	117
0.194257	3
0.866025	1
0.024845	290
0.313112	14
0.06864	1
0.092131	0
0.055048	9153
0.016737	1
0.021148	6
0.125109	910
0.201008	6
0.051187	1
0.179284	1947
0.676123	170
0.028823	2
0.774597	17
0.021617	119
0.039148	9
0.033734	3
0.177123	36
0.279508	5
0.05145	3
0.017778	1
0.02037	37
0.015752	2
0.04897	23
0.087781	4
0.079472	54
0.037529	2665
0.046324	2
0.053995	27
0.029566	169
0.228748	198
0.013941	1
0.113228	1452
0.037477	692
0.020146	2
0.04207	4366
0.053606	4562
0.060984	5
0.016701	3
0.047946	8241
0.079556	384
0.027267	475
0.138675	16357
0.034711	1765
0.025118	207
0.045584	293
0.190347	1
0.113067	10
0.079167	0
0.055364	738
0.0812	40
0.071474	2
0.037203	9
0.051503	8
0.021693	79
0.038139	15
0.03405	6
0.032725	0
0.248069	29734
0.02921	233
0.057496	908
0.06	4
0.065528	2
0.088779	5
0.062994	6322
0.029013	121
0.037864	8
0.170005	2
0.052164	465
0.046881	8353
0.1066	16585
0.020708	5
0.028943	2
0.060547	4
0.118958	29
0.07746	49
0.07144	1
0.179787	101
0.048622	95
0.034581	4
0.01992	19
0.020362	5
0.064475	29
0.1905	104
0.020943	35
0.174078	2561
0.086548	2
0.028793	0
0.068644	64
0.020434	15
0.136797	17
0.032769	1
0.019132	2
0.107694	10
0.042544	58
0.029683	567
0.632456	1872
0.047351	35
0.39036	145
0.020294	8
0.081469	5
0.031944	1546
0.082261	84
0.048168	19
0.062691	3
0.030535	0
0.03288	1083
0.244339	2
0.020784	36
0.061047	3
0.036466	776
0.136004	6
0.037235	9
0.023287	21
0.045466	183
0.075391	2
0.0353	0
0.130558	9
0.05988	4
0.108866	4
0.057856	1148
0.028127	124
0.212132	2993
0.024876	57
0.013546	2
0.093505	1
0.043183	154
0.032046	2
0.047338	250
0.192897	114
0.015717	1
0.067166	92
0.023262	17
0.121716	16365
0.191663	2173
0.057312	1
0.128432	10
0.097333	214
0.201262	157
0.155113	15
0.079752	104
0.040324	3098
0.038999	11
0.023891	21
0.073721	10248
0.105085	285
0.054944	785
0.048113	2746
0.202444	1
0.03371	2179
0.110727	4
0.022277	74
0.03331	3
0.056543	5
0.017262	1
0.038925	4215
0.057928	35
0.083771	4174
0.075593	25048
0.018621	16
0.01994	10
0.128624	27
0.081349	71
0.036917	10
0.022893	17
0.018458	3
0.269191	2
0.054393	35
0.199007	1
0.161955	72
0.074307	75
0.064718	1964
0.039936	13
0.124568	501
0.57735	871
0.016632	1
0.023338	20
0.019642	4
0.0171	4
0.06506	1505
0.041257	54
0.032075	300
0.128765	16
0.025616	60
0.017568	15
0.034632	4
0.025384	41
0.037365	15
0.038104	19
0.118993	18
0.177998	27
0.096424	8
0.041568	83
0.022316	22
0.040365	25
0.132196	1105
0.064282	103
0.048381	1
0.115954	3
0.050572	3
0.030482	1
0.048154	383
0.046829	1983
0.112687	14043
0.020345	4
0.02314	1
0.032026	775
0.108821	307
0.040689	1575
0.147043	22172
0.596285	226
0.022588	85
0.063786	0
0.03849	3157
0.034401	1263
0.058521	4904
0.027576	576
0.099779	10
0.089166	4
0.017277	4
0.160817	85
0.036662	612
0.017062	4
0.075473	25
0.057104	3
0.034752	493
0.047036	2467
0.037662	2707
0.034948	5
0.018966	22
0.071307	12
0.042305	88
0.072548	25886
0.017609	6
0.021012	43
0.124334	17
0.050718	577
0.055095	4
0.217643	3170
0.071007	15
0.038561	8
0.022634	13
0.027077	112
0.06012	13
0.040406	19
0.090045	109
0.05747	1
0.10302	3
0.043284	138
0.037463	20
0.026841	104
0.3	1865
0.110581	14
0.01827	2
0.071267	3
0.018738	3
0.036322	1
0.245718	71
0.086315	5
0.119051	564
0.044368	2093
0.097445	1
0.014359	1
0.083853	64
0.172774	2
0.052422	1
0.018019	10
0.019881	17
0.057628	3
0.133103	26
0.042117	80
0.039467	4
0.232495	8
0.143019	1205
0.188562	73
0.045703	306
0.032225	1
0.06215	6
0.03572	5
0.033879	2
0.062378	88
0.015617	1
0.080036	45
0.021739	10
0.044811	11
0.04625	199
0.049014	278
0.098653	2
0.106336	2
0.059868	95
0.052486	33
0.059339	8232
0.022675	98
0.020989	54
0.034325	2
0.040447	39
0.077254	3
0.158114	91700
0.017316	7
0.13901	1
0.107972	12
0.212238	1
0.048071	1
0.053033	1
0.1575	31
0.03992	23
0.142214	1115
0.032108	797
0.078406	2
0.029666	2
0.034986	1
0.058058	2
0.076447	36
0.061754	6
0.059105	750
0.086772	0
0.018858	1
0.047458	2903
0.112509	1768
0.311086	1
0.114755	7
0.023769	189
0.102767	9
0.086031	1
0.04714	5574
0.020779	6
0.050899	38
0.035533	633
0.014494	0
0.019353	11
0.11713	12
0.073019	1
0.075165	261
0.136364	20
0.298142	20356
0.033758	4
0.029569	3
0.114708	18287
0.059655	46
0.062419	7
0.04138	1126
0.02178	13
0.048941	222
0.020455	20
0.152499	3125
0.101666	2
0.072127	24
0.026279	70
0.077152	8045
0.033041	290
0.026082	262
0.124141	30
0.030806	1
0.362738	0
0.015702	1
0.079057	49154
0.054738	696
0.091766	10057
0.063285	1
0.076923	192
0.160644	35732
0.02002	21
0.387298	1782
0.022406	11
0.058099	885
0.048002	11
0.048436	162
0.023363	24
0.056888	34
0.020224	26
0.120096	13
0.018209	7
0.256495	4
0.034075	2
0.224733	6
0.036274	3071
0.065233	23094
0.078246	75
0.028645	2
0.29277	2180
0.031485	1
0.019035	5
0.071027	1
0.024112	256
0.021874	103
0.46188	286
0.082572	67
0.014784	7
0.024938	60
0.015939	0
0.104542	5
0.086747	3
0.030015	686
0.023973	188
0.090443	1
0.017846	3
0.062348	3
0.016676	1
0.024544	183
0.053116	1
0.033473	0
0.029424	878
0.052796	603
0.033082	2
0.013799	1
0.022733	98
0.036668	6
0.019718	3
0.072442	26
0.063888	14139
0.045382	1
0.079682	3372
0.089893	6306
0.021979	97
0.039043	1345
0.103108	7
0.018004	3
0.090121	0
0.058666	9
0.183254	146
0.068465	46
0.017891	1
0.034565	2
0.15162	7
0.04489	180
0.075117	47
0.056121	968
0.045004	164
0.018197	6
0.020607	25
0.151729	55
0.081051	82
0.015901	3
0.181631	38
0.031311	1228
0.031024	1
0.158735	48
0.033787	580
0.027524	567
0.019346	19
0.101929	11592
0.014072	1
0.028601	0
0.062167	1465
0.030486	256
0.261116	157
0.371391	4
0.028083	197
0.07873	1
0.169791	51
0.438529	7
0.069673	149
0.047565	23
0.029948	944
0.206559	148
0.020998	17
0.040283	37
0.044012	306
0.036823	13
0.059895	1212
0.165295	1
0.045823	160
0.138842	25
0.142857	1964
0.014464	0
0.038669	16
0.019826	7
0.084017	219
0.017188	2
0.017376	2
0.044194	2143
0.034606	1487
0.324443	10
0.151523	42
0.024693	252
0.080978	4467
0.114992	5
0.022059	45
0.143592	0
0.426401	6
0.036442	14
0.03241	327
0.05007	1
0.104506	1
0.076323	25
0.078784	40
0.035267	597
0.033942	464
0.175412	24483
0.018831	13
0.020961	9
0.12792	826
0.018634	31
0.027141	1
0.119239	1
0.022294	21
0.018396	5
0.037139	1870
0.090867	177
0.0219	86
0.114053	6
0.030514	3
0.027864	71
0.042164	101
0.02434	55
0.021105	67
0.0341	1962
0.040953	49
0.01715	5
0.047075	187
0.023946	26
0.017264	1
0.031564	1
0.054636	11569
0.064253	2
0.052559	16
0.016407	1
0.045361	24
0.024969	56
0.113389	390
0.04264	4490
0.037268	3175
0.019104	10
0.038376	1
0.050157	281
0.015831	1
0.031722	1
0.137649	1537
0.050125	17
0.020602	1
0.164399	2555
0.027511	2
0.073411	30
0.086893	5
0.146385	655
0.167705	1685
0.068111	12
0.042983	92
0.052623	2
0.041658	72
0.036244	5
0.016644	2
0.045118	135
0.107288	2
0.017112	1
0.02062	3
0.017528	15
0.172133	24637
0.027682	661
0.04222	3
0.053741	628
0.018288	4
0.043644	4781
0.035466	1551
0.016222	2
0.027485	1
0.070711	31745
0.100844	217
0.145693	50
0.026919	647
0.164646	75
0.017536	2
0.252982	218
0.050702	5
0.11873	6
0.032427	2
0.035191	8
0.05358	4
0.059702	3
0.057052	1
0.04828	11
0.225374	123
0.099177	176
0.065938	19455
0.084327	2
0.278543	166
0.0265	71
0.014899	1
0.13403	1
0.375	215
0.099449	174
0.296174	2
0.143674	31
0.026398	298
0.020113	1
0.102062	14288
0.400892	329
0.109888	2
0.019612	17
0.079493	2
0.032573	0
0.026463	50
0.34641	3809
0.067116	132
0.047782	52
0.123091	1531
0.106735	409
0.285714	6
0.032813	2
0.122474	464
0.075713	63
0.4	14040
0.039723	33
0.031009	1424
0.039163	1064
0.067763	10
0.01843	7
0.04131	1
0.064382	1386
0.124515	6
0.279372	178
